resume_id,summary,skills
r_0,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['n a']
r_1,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_2,,['ait']
r_3,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['finalist at business solution pan india', 'silver medal for economics junior award', 'winner and runner up for 2018 and 2019 respectively']"
r_4,"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.","['apr 2021', 'dec 2020', 'feb 2021', 'nov 2021']"
r_5,"Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras.",['scholar']
r_6,,['jr data scientist']
r_7,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_8,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_9,,['ai on the cloud']
r_10,I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning application evaluations and deployment I got really engrossed into the domain and would like to work more towards improving myself.,['n a']
r_11,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_12,I am Data science enthusiast focused on solving complex problems using machine learning techniques. I try to simplify problems and attack them head on. Always working and striving to be better solution finder.,['deep learning']
r_13,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_14,"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions.",['n a']
r_15,"To design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. Vision to create personalized experiences based on machine learning.",['city state']
r_16,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_17,I am fresher data analyst starting out in ERP and MIS. As a fresher I am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,['data science with python']
r_18,,['data scientist python developer certification advanced data analytics with python and r']
r_19,I am currently looking for an opportunity as a Data Science or Machine Learning Engineer.,['business analyst']
r_20,Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same.,['py thonist']
r_21,,['data analyst nano degree']
r_22,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_23,"I am an experienced analytics specialist seeking a full-time position in the field of data science and application in business problem solving, where I can apply my knowledge and skills for continuous improvement.",['analytics certification']
r_24,"Graduate analyst currently working as business analyst consultant. As an individual, I always try to overcome problems in the most analytical manner. I want to work on Machine Learning application problems that deal with real life scenarios.",['n a']
r_25,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_26,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['participant']
r_27,"A curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights, make informed decisions and solve challenging business problems. I ensure to contribute with my knowledge, logical thinking and analytical skills towards the consistent growth and development of the organization, and enhance my experience through continuous learning and teamwork.",['n a']
r_28,,"['city state', 'kuwait', 'udaipur india']"
r_29,Graduate Looking for roles related to BU analyst and machine learning.,['data analyst python programming']
r_30,,"['participant', 'vice president social chair greek week delegate']"
r_31,"Graduate analyst currently working as business analyst consultant. As an individual, I always try to overcome problems in the most analytical manner. I want to work on Machine Learning application problems that deal with real life scenarios.",['n a']
r_32,"Machine Learning Engineer seeking roles in Machine Learning, Natural Language Processing, Artificial Intelligence, Data Science.",['n a']
r_33,"I'm passionate learner with a knack for Artificial Intelligence. The kind of problems AI can solve, fills me with enthusiasm to learn more and contribute more. I have dedicated more than a year developing and training Machine learning Models across several projects.",['pytorch developer']
r_34,,['jr data scientist']
r_35,,"['city state', 'navi mumbai india']"
r_36,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_37,Recent Graduate testing and debugging machine learning models. I have worked on multiple projects and have contributed to the testing and quality control of models over time. I am looking to switch to a development role where I can exercise my skills.,['n a']
r_38,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['native']
r_39,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['austin tx', 'houston tx', 'westlake tx']"
r_40,"Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras.",['scholar']
r_41,Interested in helping businesses take best decisions using Machine learning and Deep learning solutions.,['n a']
r_42,"Software developer focused in the areas of Machine learning application development. Motivated to learn, grow and excel my experience by challenging myself.",['ondevice machine learning']
r_43,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['jr data scientist']
r_44,,['data analyst nano degree']
r_45,Graduating Ph.D. candidate with a research focus on developing large-scale computational models using statistics and machine learning approach. Interested in a career as a computational scientist or quantitative software developer.,"['city', 'city state']"
r_46,As a Data Analyst I always look into more innovative ways of finding figures and facts from data. I have also worked with some production based Machine learning application problems and I would like to involve myself more with such ventures.,"['using python', 'using tableau']"
r_47,"Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Machine Learning Algorithms. Also experienced in data mining, warehouse maintaining, and visualization. In search of a role where I can nurture my skills and contribute to the growth of the company and myself.",['n a']
r_48,I am looking for a job switch to transition into Data Science and utilize my currents skills & learnings from my Master's course to solve new problems.,['n a']
r_49,,"['city state', 'navi mumbai india']"
r_50,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['n a', 'november 2015']"
r_51,Data Science Explorer with a keen interest in application models of Machine learning.,['n a']
r_52,"I am a Junior Machine Learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",['nasik']
r_53,,"['cloud infrastructure for advanced computing', 'machine learning']"
r_54,"I am a Junior Machine Learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.",['nasik']
r_55,I am a software developer and analyst professional working for a year with client side technology and Machine Learning product delivery. I have handled small but scalable Machine Learning projects and want to expand my experience and expertise in the domain.,['applied machine learning course']
r_56,"A quality-oriented professional with a keen interest in solving complex business problems by way of AI-based design & thinking. A technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.",['n a']
